filename,class,bbox
006145.png,Car,"[595.09, 177.15, 637.82, 217.56]"
006145.png,Car,"[0.0, 185.06, 198.62, 277.08]"
006145.png,Car,"[812.56, 169.04, 1023.51, 293.58]"
006145.png,Car,"[764.98, 172.7, 947.97, 261.04]"
006145.png,Car,"[708.54, 177.97, 852.27, 243.88]"
006145.png,Car,"[688.87, 171.19, 810.95, 231.62]"
006145.png,Car,"[683.58, 175.03, 795.67, 222.45]"
006145.png,Car,"[671.67, 172.74, 771.02, 217.39]"
006145.png,Car,"[527.4, 180.19, 548.84, 196.17]"
006145.png,Car,"[643.3, 175.11, 696.46, 195.05]"
006145.png,Van,"[635.67, 171.26, 682.21, 192.14]"
006145.png,Car,"[492.21, 177.06, 516.24, 194.15]"
006145.png,DontCare,"[466.85, 178.15, 483.56, 189.65]"
006145.png,DontCare,"[547.06, 176.06, 578.35, 188.6]"
000534.png,Car,"[539.13, 182.36, 566.23, 206.67]"
000534.png,DontCare,"[596.02, 182.31, 613.77, 194.85]"
004752.png,Car,"[0.0, 193.15, 255.76, 363.38]"
004752.png,Car,"[898.93, 190.92, 1241.0, 374.0]"
004752.png,Car,"[180.84, 184.77, 369.71, 286.98]"
004752.png,Car,"[766.31, 180.25, 1012.62, 328.72]"
004752.png,Car,"[471.4, 177.11, 527.77, 203.35]"
004752.png,Pedestrian,"[671.21, 170.12, 686.16, 204.57]"
004752.png,Car,"[667.09, 172.15, 730.14, 191.22]"
004752.png,Truck,"[596.61, 151.62, 675.4, 192.52]"
004752.png,DontCare,"[355.12, 181.66, 415.25, 200.07]"
004752.png,DontCare,"[566.65, 174.87, 622.9, 195.22]"
002323.png,Car,"[370.97, 183.38, 475.99, 218.54]"
002323.png,DontCare,"[526.38, 182.47, 570.66, 197.64]"
002323.png,DontCare,"[587.83, 179.88, 618.53, 194.41]"
002323.png,DontCare,"[637.0, 178.59, 656.7, 189.88]"
002323.png,DontCare,"[868.58, 168.89, 882.46, 176.3]"
