filename,class,bbox
003317.png,Car,"[645.53, 177.25, 687.7, 215.7]"
004343.png,Tram,"[361.98, 117.94, 466.09, 224.18]"
004128.png,DontCare,"[724.81, 169.53, 750.98, 197.64]"
002044.png,Car,"[27.95, 179.52, 250.0, 283.64]"
006980.png,Pedestrian,"[561.68, 171.88, 581.63, 236.19]"
002859.png,Car,"[0.0, 205.35, 171.02, 337.9]"
004411.png,Car,"[670.68, 179.71, 719.69, 213.41]"
001072.png,DontCare,"[552.9, 167.59, 562.9, 176.94]"
004499.png,Car,"[0.0, 184.78, 124.93, 318.44]"
006770.png,DontCare,"[609.56, 170.85, 649.18, 191.72]"
001003.png,DontCare,"[196.02, 176.06, 291.89, 215.69]"
001674.png,Car,"[0.0, 172.73, 195.34, 290.84]"
004919.png,DontCare,"[813.73, 156.27, 1240.0, 182.35]"
002323.png,DontCare,"[868.58, 168.89, 882.46, 176.3]"
006341.png,DontCare,"[245.1, 144.93, 349.96, 221.01]"
000197.png,DontCare,"[1217.9, 128.15, 1240.0, 192.78]"
004913.png,Car,"[470.53, 167.23, 539.52, 213.66]"
002559.png,Car,"[1218.62, 164.02, 1241.0, 247.5]"
005466.png,DontCare,"[617.9, 171.9, 638.77, 188.61]"
004199.png,DontCare,"[645.24, 174.39, 657.82, 183.09]"
003512.png,DontCare,"[704.27, 165.01, 732.38, 173.07]"
006879.png,Car,"[656.15, 177.0, 744.15, 239.83]"
004735.png,DontCare,"[473.5, 183.6, 528.78, 214.62]"
002001.png,Car,"[997.55, 196.75, 1241.0, 374.0]"
000772.png,Car,"[1107.36, 178.76, 1221.84, 222.99]"
006006.png,Pedestrian,"[186.36, 174.57, 205.02, 229.8]"
002657.png,Misc,"[679.37, 182.69, 725.51, 232.96]"
003731.png,Car,"[642.59, 184.27, 684.26, 210.46]"
006820.png,Car,"[27.5, 187.33, 203.99, 247.33]"
003931.png,Car,"[760.86, 179.83, 906.49, 276.61]"
001368.png,DontCare,"[320.03, 175.36, 355.25, 189.24]"
006414.png,DontCare,"[166.85, 190.65, 286.68, 216.73]"
000497.png,Van,"[983.41, 149.52, 1071.91, 200.65]"
000234.png,Van,"[992.9, 136.02, 1119.69, 180.22]"
005413.png,Car,"[350.46, 186.05, 407.0, 213.14]"
002005.png,DontCare,"[926.8, 187.65, 965.26, 282.39]"
002177.png,Car,"[232.29, 192.84, 386.57, 284.17]"
006310.png,Car,"[681.87, 161.05, 702.24, 176.73]"
007242.png,Car,"[719.02, 166.57, 826.04, 199.66]"
001652.png,DontCare,"[380.83, 180.53, 497.56, 210.58]"
003245.png,Car,"[717.99, 173.04, 738.51, 190.78]"
005802.png,DontCare,"[63.72, 179.28, 344.06, 216.49]"
004428.png,Pedestrian,"[552.91, 166.87, 567.24, 216.78]"
000515.png,Car,"[8.71, 185.27, 185.15, 255.0]"
005310.png,Car,"[339.16, 196.65, 475.93, 294.64]"
000832.png,Car,"[800.46, 174.47, 866.86, 201.82]"
007129.png,DontCare,"[790.81, 166.69, 837.73, 236.52]"
005495.png,Car,"[0.0, 199.43, 302.39, 369.0]"
003784.png,Pedestrian,"[650.18, 168.13, 667.18, 207.28]"
002789.png,Car,"[686.53, 176.8, 772.91, 229.33]"
003136.png,Car,"[238.39, 187.42, 314.85, 224.44]"
006083.png,Pedestrian,"[757.01, 162.37, 815.33, 281.82]"
000519.png,Car,"[780.11, 170.05, 995.86, 262.23]"
000494.png,Car,"[0.0, 196.14, 197.44, 318.81]"
003257.png,Pedestrian,"[797.18, 169.79, 868.52, 371.78]"
006738.png,DontCare,"[475.19, 169.81, 540.86, 186.52]"
003364.png,DontCare,"[447.46, 160.48, 577.78, 190.53]"
000501.png,Car,"[546.66, 177.0, 563.75, 191.32]"
002660.png,DontCare,"[498.56, 174.06, 582.3, 196.35]"
003502.png,DontCare,"[802.43, 129.67, 845.42, 136.96]"
004776.png,Car,"[802.91, 183.56, 933.67, 233.91]"
006895.png,DontCare,"[534.56, 179.19, 548.14, 188.61]"
005126.png,Truck,"[623.07, 132.12, 687.96, 200.45]"
005707.png,DontCare,"[595.75, 150.58, 618.08, 167.08]"
005802.png,Car,"[574.03, 170.1, 620.21, 206.84]"
001044.png,Van,"[652.41, 148.97, 682.81, 182.22]"
003335.png,Car,"[164.1, 183.85, 282.42, 228.53]"
006655.png,Car,"[270.34, 196.55, 329.24, 225.42]"
003507.png,Car,"[656.26, 171.89, 713.96, 194.75]"
004838.png,Car,"[658.29, 174.74, 737.63, 206.95]"
005696.png,Pedestrian,"[22.99, 139.41, 156.32, 369.0]"
002694.png,Car,"[682.64, 159.13, 728.43, 192.93]"
004959.png,DontCare,"[501.23, 180.23, 585.65, 199.02]"
000718.png,Car,"[558.39, 166.24, 592.73, 192.89]"
007353.png,Car,"[661.73, 174.66, 714.82, 214.09]"
001318.png,Van,"[282.44, 170.54, 363.23, 224.38]"
003225.png,Car,"[954.14, 165.25, 1034.15, 204.03]"
001723.png,Car,"[772.49, 162.9, 953.3, 223.0]"
002864.png,Car,"[0.0, 168.61, 140.05, 274.68]"
003466.png,Cyclist,"[415.52, 158.34, 492.23, 265.14]"
006154.png,Truck,"[289.5, 8.1, 541.59, 274.43]"
000519.png,DontCare,"[577.03, 174.68, 588.92, 180.77]"
004234.png,Car,"[221.92, 193.68, 488.32, 360.17]"
001840.png,Van,"[1140.79, 134.02, 1241.0, 194.01]"
006062.png,DontCare,"[519.98, 177.1, 557.52, 189.64]"
007123.png,Car,"[237.41, 187.55, 465.25, 261.96]"
005108.png,DontCare,"[212.14, 154.6, 298.87, 174.49]"
003758.png,Car,"[704.35, 169.17, 779.17, 223.63]"
001693.png,Pedestrian,"[371.76, 167.11, 398.42, 256.36]"
001440.png,Car,"[369.84, 177.56, 464.63, 213.63]"
004038.png,Car,"[937.2, 111.11, 1241.0, 374.0]"
007053.png,Cyclist,"[758.76, 179.55, 801.48, 271.1]"
004397.png,DontCare,"[354.15, 178.27, 375.47, 188.91]"
005232.png,DontCare,"[733.52, 165.65, 751.27, 179.23]"
000807.png,Truck,"[264.54, 145.99, 359.26, 212.89]"
005448.png,Car,"[595.61, 171.69, 622.85, 198.58]"
006538.png,Car,"[212.29, 188.69, 337.39, 242.11]"
004809.png,Car,"[628.51, 174.33, 697.59, 239.23]"
004471.png,Car,"[173.9, 178.78, 252.52, 213.61]"
004640.png,DontCare,"[539.48, 180.21, 587.97, 194.74]"
004169.png,DontCare,"[981.73, 168.37, 1031.04, 190.34]"
007410.png,Pedestrian,"[646.08, 161.55, 672.31, 224.84]"
004892.png,Car,"[624.12, 174.38, 675.12, 223.4]"
000708.png,Car,"[852.51, 189.92, 1241.0, 374.0]"
007218.png,DontCare,"[854.35, 168.77, 885.64, 193.81]"
006826.png,Car,"[886.59, 160.58, 935.48, 189.99]"
004116.png,Pedestrian,"[541.79, 145.94, 615.18, 369.0]"
